INCOME,SHORT DESCRIPTION,CONVERGED
Swng/y,Moderate.Democrat -2,"?????????????????? ??????????????: Moderate Democratic -2 cluster with a visibly mixed ideological pattern: pro-U.S.-flag, pro-closed-border, pro-military and regular Fox News exposure while still supporting no-cash-bail policy and retaining a Democratic lean. Combines patriotic and border-security instincts with selected progressive criminal-justice or social-policy positions. Supports moderate taxation, selective environmental regulation, abortion rights with some limits and bipartisan or pragmatic governance. ????????????????????????????: Uses positive U.S.-flag and military language, expresses concern about illegal immigration and border control, maintains Democratic self-identification or voting behavior, supports bail reform, and routinely consumes both mainstream Democratic and conservative media. ???????????????? ??????????: Centrist suburban Democrats, union households with conservative cultural views, veterans or military-family Democrats and swing-state voters who split tickets or vary their vote by office."
Swng/x,Moderate.Democrat -1,"?????????????????? ??????????????: Moderate Democratic -1 cluster approaching the ideological center. Pro-U.S.-flag, favors a closed or tightly controlled border, supports some ICE deportations and consumes about two hours of Fox News weekly, while still supporting no-cash-bail policy and retaining a Democratic orientation. Skeptical of activist-left terminology, supports police funding with reforms, favors moderate fiscal policy and prefers legal immigration over expansive border access. ????????????????????????????: Shows Democratic voting history or self-description paired with strong border-control language, selective support for ICE enforcement, positive patriotism, moderate Fox News consumption and rejection of some activist-left positions while maintaining support for no-cash-bail or similar justice reform. ???????????????? ??????????: Working-class Democrats, culturally moderate minority or immigrant voters, law-and-order Democrats, suburban independents leaning Democratic and voters supporting Democratic economic policy while preferring Republican-style border enforcement."
Swng 0,Swing Level 0,"?????????????????? ??????????????: True swing/center cluster. Pro-U.S.-flag, favors a closed or tightly controlled border, supports some ICE deportations, supports no-cash-bail policy and watches more than roughly two hours of Fox News weekly. Combines center-right enforcement/patriotic cues with center-left criminal-justice reform. Candidate quality, economic conditions and salient issues strongly influence vote choice. Focuses on inflation, public safety, taxes, government competence and political extremism on both sides. ????????????????????????????: Uses statements such as “socially liberal, fiscally conservative,” “independent,” “vote for the person,” or dissatisfaction with both parties; uses positive flag/patriotic language; supports border enforcement and selective ICE action; and supports some criminal-justice reform. ???????????????? ??????????: Independents, ticket-splitters, suburban swing voters, politically heterogeneous working-class households and voters who alternate between Democratic and Republican candidates."
Swng\x,Swing Level X,"?????????????????? ??????????????: Swing Level X cluster leaning somewhat Republican. Shares pro-U.S.-flag, closed-border, selective ICE-deportation and no-cash-bail positions with the central swing group but consumes heavier Fox News, around four or more hours weekly. Shows greater concern about crime, government spending, taxes and cultural change while retaining one or more center-left positions. ????????????????????????????: Uses independent or weak-party identification, consumes conservative media regularly, uses strong border-security and patriotic language, supports partial ICE enforcement, shows skepticism of progressive cultural politics, and still supports selected reforms such as no-cash-bail. ???????????????? ??????????: Right-leaning independents, former Democrats moving toward Republicans, suburban voters skeptical of both parties and working-class swing voters whose media habits are more conservative than their complete policy bundle."
Swng\y,Moderate.Republican,"?????????????????? ??????????????: Moderate Republican transition cluster. Pro-Israel, favors a closed border, opposes Muslim immigration, supports some ICE deportations and supports no-cash-bail policy. Center-right on foreign policy and immigration but not uniformly conservative on criminal justice. Supports police and military institutions, lower taxes, restrained regulation, legal immigration, religious liberty and conventional rather than populist Republican governance. ????????????????????????????: Uses Republican-leaning or center-right language, strong Israel support, border-security and immigration-restriction messaging, some support for ICE deportation activity and comparatively moderate rhetoric on institutions or elections. Support for no-cash-bail distinguishes this group from harder-right cohorts. ???????????????? ??????????: Moderate Republicans, security-focused independents, pro-business conservatives, suburban GOP voters and voters preferring Republican foreign and immigration policy without embracing the party’s populist fringe."
Swng\z,Moderate.Republican,"?????????????????? ??????????????: Moderate Republican cluster with a stronger conventional conservative pattern: pro-U.S.-flag, pro-Israel, pro-closed-border, opposition to Muslim immigration and support for broad ICE deportations. More consistently Republican than Swng\y. Emphasizes law-and-order politics, support for police and military institutions, lower taxes, gun rights, religious liberty and skepticism of DEI or expansive progressive social policy. ????????????????????????????: Uses overt patriotism, strong Israel support, consistent border-security language, support for broad ICE enforcement, preference for legal over unauthorized immigration, and favorable treatment of police, military and traditional civic institutions. ???????????????? ??????????: Mainstream conservative suburban voters, older Republican voters, national-security conservatives, small-business Republicans and independents leaning consistently Republican on immigration, public order and foreign policy."
GOP+4,Moderate.Republican,"?????????????????? ??????????????: Moderate-to-mainstream Republican cohort with strong pro-Israel/Zionist views, closed-border preferences, opposition to Muslim immigration and support for broad ICE deportations. Reliably conservative without being explicitly Trump/QAnon-defined. Supports strong defense spending, police, lower taxes, less regulation, gun rights, religious liberty, opposition to DEI mandates and market-based economic policy. ????????????????????????????: Uses repeated pro-Israel/Zionist commentary, strong border-control and deportation messaging, conventional Republican identification, favorable views of military and police institutions, criticism of progressive identity politics and support for business-oriented conservative policy. ???????????????? ??????????: Mainstream Republican activists, national-security conservatives, pro-Israel GOP organizations, business conservatives and voters strongly favoring Republican immigration and foreign-policy positions without making Trump or election denial their primary political identity."
GOP+3,Republican Level 3,"?????????????????? ??????????????: Republican Level 3 cluster, reliably conservative on Israel/Zionism, border closure, Muslim-immigration restriction and broad ICE deportations. More partisan than GOP+4 and more likely to interpret issues through Republican-versus-Democratic competition. Opposes DEI and no-cash-bail, supports police, gun rights, tax reductions, fossil-fuel development, parental-rights policies and conservative judicial appointments. ????????????????????????????: Shows habitual Republican voting, strong pro-Israel and border-enforcement language, support for large-scale deportation, criticism of progressive cultural policies, favorable discussion of law enforcement and frequent reliance on conservative news or political commentators. ???????????????? ??????????: Regular Republican primary voters, conservative suburban and exurban voters, small-business owners, evangelical or traditional-values political networks and Republican activists focused on immigration, crime, taxes and cultural issues."
GOP+2,Republican,"?????????????????? ??????????????: Standard Republican cohort with pro-Israel/Zionist, closed-border, Muslim-immigration-restriction and broad ICE-deportation positions. Conventional partisan Republican rather than specifically Trump-centered or conspiratorial. Supports lower taxes, smaller federal government, less business regulation, gun rights, stronger policing, school choice, limits on abortion and skepticism toward DEI and progressive gender policy. ????????????????????????????: Shows consistent Republican voting and self-identification, supports border walls or strict enforcement, posts favorable Israel commentary, supports ICE, uses conventional conservative economic language and emphasizes individual responsibility, parental rights, law and order and limited government. ???????????????? ??????????: Mainstream GOP voters, Chamber-of-Commerce-style conservatives, suburban/exurban Republicans and voters whose conservatism is primarily policy- and party-based rather than personality-based."
GOP+1,Republican,"?????????????????? ??????????????: Republican cohort with explicit support for U.S. funding of Israel/Zionism together with closed-border, Muslim-immigration-restriction and broad ICE-deportation positions. More interventionist and alliance-oriented in foreign policy than some populist-right groups. Supports strong U.S. military capability, NATO or allied cooperation when advancing U.S. interests, tax reductions, law-and-order policy, gun rights and opposition to DEI mandates. ????????????????????????????: Advocates continued U.S. aid to Israel, uses strong Zionist language, supports strict border and deportation policy, aligns electorally with Republicans and speaks favorably about American military strength, police and traditional institutions. ???????????????? ??????????: Pro-Israel Republican organizations, defense-oriented conservatives, traditional GOP donors, national-security Republicans and voters combining hard-line immigration policy with active support for U.S. foreign alliances."
GOP 0,Trump.AntiVax,"?????????????????? ??????????????: Trump-aligned anti-vaccine or vaccine-skeptical Republican cluster. Supports funding Israel/Zionism and broad ICE deportations. Aligns personally with Trump and distrusts public-health authorities, pharmaceutical companies, mandates and official COVID-era policy. Uses “America First” rhetoric, strong border-enforcement messaging, hostility to federal bureaucracy, skepticism toward mainstream media and support for outsider or anti-establishment political figures. ????????????????????????????: Uses explicit Trump/MAGA identification; anti-vaccine, anti-mandate or public-health skepticism; strong ICE/deportation messaging; distrust of CDC/FDA or federal experts; and populist themes such as the “deep state,” establishment elites, media bias or government overreach. ???????????????? ??????????: MAGA-oriented voters, anti-mandate activists, populist Republican social-media communities and Trump voters combining immigration enforcement with institutional distrust."
GOP-1,Trump.ProJan6,"?????????????????? ??????????????: Strong Trump/January 6 sympathetic cluster. Supports or justifies January 6, believes the 2020 election involved meddling and supports broad ICE deportations. Organized around Trump-era grievance and election legitimacy more than GOP 0. Uses claims of media censorship, hostility toward the federal bureaucracy, strong “America First” nationalism, skepticism of mail voting or election administration and opposition to prosecutions of January 6 defendants. ????????????????????????????: Uses “Stop the Steal,” election-fraud or election-interference language, favorable framing of January 6 participants, repeated claims that Trump was unfairly targeted, strong deportation/border enforcement advocacy and distrust of federal law-enforcement or election institutions. ???????????????? ??????????: Election-integrity activist networks, strongly MAGA social-media communities, January 6 sympathy groups and Republican voters for whom the 2020 election remains a central political grievance."
GOP-2,QAnon.Antisemite,"?????????????????? ??????????????: QAnon/antisemitic far-right cluster. Combines QAnon identity or narratives, antisemitic content, support for or justification of January 6 and denial of the 2020 election result. Uses “deep state” conspiracy narratives, claims about secret elite networks, globalist conspiracies, coded or explicit hostility toward Jews, distrust of mainstream institutions and highly personalized loyalty to Trump or other anti-establishment figures. ????????????????????????????: Uses Q/QAnon slogans, “WWG1WGA,” references to hidden cabals or secret trafficking networks, explicit or coded antisemitic narratives, 2020 election-denial claims, January 6 justification and repeated assertions that mainstream media, courts or federal agencies participate in a coordinated conspiracy. ???????????????? ??????????: QAnon social-media clusters, conspiracy-oriented Telegram/alternative-platform communities, far-right election-denial networks and extremist online communities where QAnon and antisemitic narratives overlap."
GOP-3,QAnon.Online.Misdemeanor,"?????????????????? ??????????????: QAnon-oriented far-right online misconduct cluster. Shares QAnon and 2020 election-denial themes with GOP-2 but is distinguished by online conduct coded at misdemeanor level rather than primarily antisemitic content. Uses coordinated harassment, doxxing, threatening communications, mass-reporting or intimidation campaigns, “deep state” narratives and aggressive targeting of election officials, journalists, public-health personnel or political opponents. ????????????????????????????: Uses repeated QAnon slogans or narratives, 2020 election-denial content, aggressive online campaigns and documented digital conduct meeting the misdemeanor classification. Common markers include “traitor,” “deep state,” “cabal,” “stolen election,” “enemy of the people” and calls to expose, punish or overwhelm named institutions or opponents. ???????????????? ??????????: Militant QAnon social-media networks, election-denial harassment clusters and conspiracy communities moving beyond commentary into coordinated disruptive online behavior."
GOP-4,QAnon.Physical.Felony,"?????????????????? ??????????????: Furthest-right QAnon/physical-felony cluster. Combines QAnon narratives, strong 2020 election denial, January 6 sympathy or justification and physical conduct coded at felony level. Treats normal political institutions as illegitimate or captured, uses “deep state” conspiracy narratives, revolutionary or insurrectionary rhetoric, highly personalized loyalty to anti-establishment leaders and claims that extraordinary direct action is justified to restore the country. ????????????????????????????: Uses explicit QAnon language or symbols, categorical claims that the 2020 election was stolen, positive or justificatory January 6 rhetoric, references to political opponents as traitors or enemies, and documented physical conduct meeting the felony-level criterion. ???????????????? ??????????: Militant QAnon/election-denial networks, extremist direct-action clusters and conspiracy-oriented groups whose political rhetoric is accompanied by serious physical criminal conduct documented in the research data."
