INCOME,SHORT DESCRIPTION,CONVERGED
$150K BSPhD1,"Trade,BS,RN,Fi$.MBA,BS.MS,BS.PhD,BA.JD","~$150K → Educational/training profile: skilled trade pathway, BS degree, registered nurse credential, finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, and BA plus JD. Outcome = professional credential + specialized role + regional wage premium or business income. Observed cases: PhD-level professionals, attorneys, finance MBA graduates, registered nurses in high-paying specialties, nurse practitioners, physician assistants, senior engineers, software engineers, IT systems architects, university associate professors, accountants, sales professionals, construction supervisors, electricians, plumbers, trade-business owners, government managers, and small-business operators. Additional outcome pathways include BS-plus-PhD technical/scientific careers and BA-plus-JD legal careers at this income level. Additional observed cases: industry research scientists or applied technical PhDs, and staff or associate attorneys in government, nonprofit, regional-firm, or lower-cost legal markets."
$120K BSMS,"Trade,BA.PhD,BS,RNFi$.MBA,BS.MS,BS.PhD,BA.JD","~$120K → Educational/training profile: skilled trade pathway, BA plus PhD, BS degree, registered nurse credential, finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, and BA plus JD. Outcome = bachelor's/master's credential, registered nursing, skilled trade seniority, or public-sector overtime. Observed cases: engineers, software developers, project managers, accountants, technical salespeople, master electricians, plumbers, business analysts, lab managers, senior teachers, professors, federal employees, police or fire supervisors, construction specialists, finance/MBA employees, early-career attorneys, and stable local business operators. Additional outcome pathways include BS-plus-PhD or BA-plus-PhD research/technical employment and BA-plus-JD legal employment where compensation is moderate. Additional observed cases: research scientists, postdoctoral or university PhD professionals, laboratory or government technical PhDs, and early-career, public-sector, nonprofit, or small-firm attorneys."
$100K Trade3,"Trade,BA.PhD,BS,RNFi$.MBA,BS.MS,BS.PhD,BA.JD","~$100K → Educational/training profile: skilled trade pathway, BA plus PhD, BS degree, registered nurse credential, finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, and BA plus JD. Outcome = experienced technical labor + licensed trade skill + nursing, public-sector, or overtime premium. Observed cases: electricians, plumbers, HVAC technicians, elevator technicians, hospital RNs, mid-level software developers, engineers, IT professionals, accountants, teachers, administrators, police officers, firefighters, government specialists, construction supervisors, logistics managers, laboratory specialists, sales representatives, and certified technicians. Additional outcome pathways include advanced academic credentials—such as BS-plus-PhD or BA-plus-PhD—and BA-plus-JD legal training in lower-paid, public-sector, academic, nonprofit, or early-career roles. Additional observed cases: research scientists, postdoctoral researchers, university or government PhD specialists, staff attorneys, public defenders, prosecutors, legal-aid attorneys, and small-firm associates."
$90K BS2,"Trade,BA.PhD,BS,RNFi$.MBA,BS.MS,BS.PhD,BA.JD","~$90K → Educational/training profile: skilled trade pathway, BA plus PhD, BS degree, registered nurse credential, finance undergraduate or finance-heavy background plus MBA, BS plus MS, BS plus PhD, and BA plus JD. Outcome = bachelor's-level employment + trade certification + nursing or public-sector overtime. Observed cases: nurses, skilled tradespeople, construction supervisors, trade supervisors, engineers, IT specialists, software QA engineers, accountants, operations managers, school department heads, police officers, firefighters, technical sales representatives, federal or state employees, laboratory professionals, military or defense personnel, network administrators, and experienced technicians. Additional outcome pathways include PhD-trained research or academic work and BA-plus-JD legal work in early-career or lower-compensation settings. Additional observed cases: university research associates, laboratory or government PhD specialists, postdoctoral researchers, legal-aid attorneys, public defenders, junior prosecutors, and small-firm attorneys."
$80K BS1,"Trade,BA.PhD,BS,,$.MBA,BS.MS,BA.JD","~$80K → Educational/training profile: skilled trade pathway, BA plus PhD, BS degree, finance/MBA pathway, BS plus MS, and BA plus JD. Outcome = bachelor's degree, moderate-paying master's degree, licensed trade work, or operational supervision. Observed cases: entry-level engineers, staff accountants, teachers with master's degrees, university lecturers, IT administrators, paralegal managers, insurance professionals, police officers, firefighters, electricians, plumbers, HVAC technicians, construction workers, sales representatives, government employees, healthcare technicians, and administrative or operational supervisors. Additional outcome pathways include lower-paid BA-plus-PhD academic/research careers and BA-plus-JD legal careers in public-interest, government, or early-career settings. Additional observed cases: postdoctoral researchers, adjunct or research faculty, nonprofit research PhDs, legal-aid lawyers, junior public defenders, and small-firm or public-sector attorneys."
$77K BAPhD,"BA.MS,Trade,BA.PhD,BS,RN,BA.JD","~$77K → Educational/training profile: BA plus MS, skilled trade pathway, BA plus PhD, BS degree, registered nurse credential, and BA plus JD. Outcome = master's-level employment, bachelor's professional role, nursing, skilled trade work, or lower-paid advanced-degree pathway. Observed cases: staff nurses, assistant professors, research staff, HR specialists, senior paralegals, construction foremen, marketing specialists, teachers, laboratory researchers, junior engineers, accountants, IT professionals, social-service managers, government analysts, firefighters, electricians, construction specialists, and certified technicians. Additional outcome pathways include BA-plus-PhD research/academic employment and BA-plus-JD legal employment in lower-paid markets. Additional observed cases: postdoctoral fellows, research scientists, adjunct faculty, nonprofit or government PhD researchers, legal-aid attorneys, public defenders, and junior small-firm lawyers."
$70K Trade2,"BA,BA.MS,Trade,BA.PhD,BS,BA.JD","~$70K → Educational/training profile: BA degree, BA plus MS, skilled trade pathway, BA plus PhD, BS degree, and BA plus JD. Outcome = bachelor's/master's labor market entry or skilled trade experience. Observed cases: journeyman plumbers and electricians, public-school teachers, junior paralegals, logistics coordinators, junior accountants, IT support professionals, government analysts, police officers, firefighters, HVAC technicians, construction specialists, healthcare technicians, sales representatives, office managers, technical workers, and public-service or nonprofit advanced-degree holders. Additional outcome pathways include lower-paid BA-plus-PhD academic/nonprofit research and BA-plus-JD public-interest or early-career legal work. Additional observed cases: postdoctoral researchers, adjunct instructors, nonprofit research PhDs, legal-aid attorneys, public defenders, and junior attorneys in small firms or government."
$65K Trade1,"BA,BA.MS,Trade,BA.PhD,BS,BA.JD","~$65K → Educational/training profile: BA degree, BA plus MS, skilled trade pathway, BA plus PhD, BS degree, and BA plus JD. Outcome = early professional employment + trade licensure + moderate experience. Observed cases: BA/BS graduates, lower-paid master's graduates, skilled tradespeople, entry-level analysts, executive assistants, MSW social workers, clinical lab technicians, teachers, government and university employees, junior accountants, IT technicians, electricians, plumbers, mechanics, construction workers, healthcare technicians, sales representatives, administrative supervisors, nonprofit staff, and laboratory employees. Additional outcome pathways include low-paid advanced-degree work, including BA-plus-PhD research/teaching and BA-plus-JD public-interest or entry-level legal roles. Additional observed cases: postdoctoral fellows, adjunct faculty, nonprofit researchers with PhDs, legal-aid attorneys, public defenders, and junior lawyers in very small firms or government."
$60K BAMS,"AS,BA,BA.MS,Trade,BA.PhD,BA.JD","~$60K → Educational/training profile: associate degree, BA degree, BA plus MS, skilled trade pathway, BA plus PhD, and BA plus JD. Outcome = associate/bachelor's credential + trade experience + administrative or technical role. Observed cases: research assistants, office managers, entry-level analysts, dental hygienists, trade technicians, police officers, junior account managers, lower-pay teachers, technicians, government employees, electricians, mechanics, construction workers, healthcare support professionals, junior accountants, IT support staff, laboratory employees, sales representatives, and administrative workers. Additional outcome pathways include lower-compensation BA-plus-PhD academic/nonprofit research and BA-plus-JD legal work. Additional observed cases: postdoctoral fellows, adjunct instructors, nonprofit or university PhD researchers, legal-aid attorneys, public-interest lawyers, and entry-level attorneys in small firms or government."
$55K BA2,"Unemp, Retired,GED,AS,BA,BA.MS,Trade","~$55K → Educational/training profile: unemployment or intermittent work, retired status, GED, associate degree, BA degree, BA plus MS, and skilled trade pathway. Outcome = GED/associate/bachelor's pathway + early trade work + hourly premium, pension, or supplemental income. Observed cases: administrative coordinators, customer-service supervisors, HVAC technicians, retail store managers, entry-level technicians, junior bookkeepers, teaching assistants, small-office staff, warehouse supervisors, junior IT staff, healthcare support workers, government clerks, logistics employees, retirees, and hourly workers with overtime."
$50K BA1,"Unemp, Retired,GED,AS,BA,BA.MS","~$50K → Educational/training profile: unemployment or intermittent work, retired status, GED, associate degree, BA degree, and BA plus MS. Outcome = associate or bachelor's credential, experienced GED pathway, retirement income mix, or intermittent employment. Observed cases: office administrators, junior trade workers, bank tellers or supervisors, medical-records specialists, technicians, retail managers, logistics workers, junior IT support, healthcare assistants, construction workers, mechanics, government clerks, customer-service supervisors, and sales representatives."
$45K AS,"Unemp, Retired,GED,AS,BA,BA.MS","~$45K → Educational/training profile: unemployment or intermittent work, retired status, GED, associate degree, BA degree, and BA plus MS. Outcome = associate degree, entry-level bachelor's role, experienced GED pathway, retirement income, or periodic unemployment. Observed cases: medical assistants, office clerks, retail assistant managers, municipal dispatchers, administrative assistants, entry-level technicians, warehouse or logistics employees, junior healthcare support staff, customer-service staff, clerical workers, construction laborers, mechanics, hospitality supervisors, and entry-level technical or sales employees."
$40K GED,"Unemp, Retired,GED,AS,BA","~$40K → Educational/training profile: unemployment or intermittent work, retired status, GED, associate degree, and BA degree. Outcome = GED pathway + entry-level service, clerical, retail, delivery, or warehouse labor. Observed cases: hospitality workers, warehouse team leads, delivery drivers, retail sales associates, security guards, clerical employees, customer-service representatives, school support workers, healthcare aides, construction laborers, entry-level government employees, junior technicians, retirees with limited earned income, and workers affected by hours, overtime, or seasonality."
$35K GED,"Unemp, Retired, govt$,GED","~$35K → Educational/training profile: unemployment or intermittent work, retired status, government-support income, and GED. Outcome = low-wage hourly employment + partial-year work + limited retirement or government assistance. Observed cases: retail workers, food-service employees, call-center representatives, rideshare drivers, home-health aides, warehouse associates, basic clerical staff, cashiers, delivery workers, entry-level construction laborers, hospitality employees, caregivers, GED or high-school graduates, low-pension retirees, and workers whose annual income depends on scheduling."
<$34K GED,"Unemp, Retired, govt$","<$34K → Educational/training profile: unemployment or intermittent work, retired status, and government-support income. Outcome = unemployment, underemployment, part-time low-wage work, limited retirement income, or government assistance. Observed cases: Social Security-dependent retirees, students with limited earnings, part-time service staff, gig workers, caregivers, cleaners, warehouse employees, seasonal laborers, entry-level retail and food-service workers, clerical workers, hospitality staff, and households combining public benefits, family support, savings, or part-time wages."
